fecha_ejecucion,archivo,registros_recibidos,registros_procesados,exitosos,fallidos,tiempo_segundos,archivo_log
2026-05-14 22:37:08,Book2.csv,6,6,4,2,24.95,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-05-14_223708.csv
2026-05-14 22:42:46,Book2.csv,6,6,4,2,25.6,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-05-14_224246.csv
2026-05-31 14:43:07,Book2.csv,6,6,4,2,28.03,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-05-31_144307.csv
2026-05-31 15:09:13,Book2.csv,6,6,4,2,26.07,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-05-31_150913.csv
2026-06-02 14:31:08,Book2.csv,6,6,4,2,27.46,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_143108.csv
2026-06-02 14:43:34,Book2.csv,6,6,4,2,25.02,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_144334.csv
2026-06-02 14:58:25,Book2.csv,6,6,4,2,26.23,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_145825.csv
2026-06-02 15:07:46,Book2.csv,6,6,4,2,24.62,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_150746.csv
2026-06-02 22:05:03,Book2.csv,6,6,4,2,26.75,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_220503.csv
2026-06-02 22:24:29,Book2.csv,6,6,4,2,26.32,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_222429.csv
2026-06-02 22:51:26,Book2.csv,6,6,4,2,25.75,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_225126.csv
2026-06-02 23:26:09,Book2.csv,6,2,2,0,10.82,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_232609.csv
2026-06-02 23:27:51,Book2.csv,6,6,4,2,25.21,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-02_232751.csv
2026-06-03 09:03:28,Book2.csv,6,2,2,0,13.37,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-03_090328.csv
2026-06-03 09:11:33,Book2 (2).csv,21,10,9,1,68.71,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-03_091133.csv
2026-06-22 15:39:44,Book2 (2).csv,21,3,3,0,17.17,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-22_153944.csv
2026-06-22 19:58:51,Book2.csv,6,6,5,1,29.81,C:\Users\Victo\OneDrive\Documentos\Proyecto\Sprint 3\logs\log_ejecucion_2026-06-22_195851.csv
